Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
GTBO,PT. Garda Tujuh Buana Tbk,176.0,"-15 (-7,85%)",44.0,4.0,440000.0
HOTL,PT. Saraswati Griya Lestari Tbk,126.0,"-1 (-0,79%)",-1.0,-137.0,447300.0
CNKO,PT. Exploitasi Energi Indonesia Tbk,50.0,"0 (0,00%)",-94.0,-1.0,447800.0
MAGP,PT. Multi Agro Gemilang Plantation Tbk,50.0,"0 (0,00%)",-1.0,-42.0,450000.0
INCF,PT. Indo Komoditi Korpora Tbk,314.0,"0 (0,00%)",5.0,62.0,451532.0
HDTX,PT. Panasia Indo Resources Tbk,126.0,"7 (5,88%)",-0.0,-6300.0,453726.0
MFMI,PT. Multifiling Mitra Indonesia Tbk,600.0,"10 (1,69%)",35.0,17.0,454200.0
COCO,PT. Wahana Interfood Nusantara Tbk,910.0,"0 (0,00%)",7.0,135.0,462280.0
BUDI,PT. Budi Starch & Sweetener Tbk,103.0,"-1 (-0,96%)",8.0,12.0,463294.0
STAR,PT. Star Petrochem Tbk,97.0,"-2 (-2,02%)",0.0,14345.0,465600.0
ASRM,PT. Asuransi Ramayana Tbk,2200.0,"0 (0,00%)",358.0,6.0,470800.0
JAWA,PT. Jaya Agra Wattie Tbk,126.0,"0 (0,00%)",-79.0,-2.0,475524.0
PANR,PT. Panorama Sentrawisata Tbk,398.0,"0 (0,00%)",-15.0,-27.0,477600.0
DYAN,PT. Dyandra Media International Tbk,116.0,"2 (1,75%)",7.0,16.0,495552.0
IATA,PT. Indonesia Transport & Infrastructure Tbk,50.0,"0 (0,00%)",-14.0,-4.0,498950.0
GAMA,PT. Gading Development Tbk,50.0,"0 (0,00%)",0.0,253.0,500550.0
KIOS,PT. Kioson Komersial Indonesia Tbk,700.0,"-100 (-12,50%)",7.0,96.0,501900.0
PEGE,PT. Panca Global Kapital Tbk,179.0,"0 (0,00%)",27.0,7.0,507107.0
WIIM,PT. Wismilak Inti Makmur Tbk,246.0,"-18 (-6,82%)",20.0,12.0,516354.0
PSKT,PT. Red Planet Indonesia Tbk,50.0,"0 (0,00%)",-3.0,-18.0,517550.0
GEMA,PT. Gema Grahasarana Tbk,324.0,"-2 (-0,61%)",15.0,21.0,518400.0
DAYA,PT. Duta Intidaya Tbk,216.0,"-4 (-1,82%)",2.0,101.0,522720.0
NUSA,PT. Sinergi Megah Internusa Tbk,69.0,"0 (0,00%)",-1.0,-55.0,531300.0
DPUM,PT. Dua Putra Utama Makmur Tbk,129.0,"0 (0,00%)",11.0,11.0,538575.0
ITMA,PT. Sumber Energi Andalan Tbk,795.0,"0 (0,00%)",138.0,6.0,540600.0
DNAR,PT. Bank Dinar Indonesia Tbk,250.0,"-36 (-12,59%)",4.0,58.0,556750.0
DIGI,PT. Arkadia Digital Media Tbk,1715.0,"5 (0,29%)",2.0,696.0,557375.0
EKAD,PT. Ekadharma International Tbk,810.0,"-5 (-0,61%)",132.0,6.0,565380.0
MDKI,PT. Emdeki Utama Tbk,224.0,"-8 (-3,45%)",15.0,15.0,566720.0
SPMA,PT. Suparma Tbk,270.0,"6 (2,27%)",20.0,13.0,570780.0
OCAP,PT. Onix Capital Tbk,2100.0,"325 (18,31%)",-145.0,-14.0,573300.0
NIPS,PT. Nipress Tbk,352.0,"0 (0,00%)",3.0,139.0,575520.0
MYTX,PT. Asia Pacific Investama Tbk,75.0,"0 (0,00%)",-24.0,-3.0,581025.0
SAPX,PT. Satria Antaran Prima Tbk,700.0,"-45 (-6,04%)",-8.0,-90.0,583100.0
SKRN,PT. Superkrane Mitra Utama Tbk,400.0,"-6 (-1,48%)",77.0,5.0,600000.0
IPOL,PT. Indopoly Swakarsa Industry Tbk,95.0,"0 (0,00%)",9.0,10.0,612085.0
ADES,PT. Akasha Wira International Tbk,1045.0,"5 (0,48%)",80.0,13.0,615505.0
ENRG,PT. Energi Mega Persada Tbk,60.0,"-1 (-1,64%)",6.0,11.0,620520.0
BNBA,PT. Bank Bumi Arta Tbk,284.0,"-8 (-2,74%)",36.0,8.0,649224.0
RANC,PT. Supra Boga Lestari Tbk,416.0,"62 (17,51%)",27.0,15.0,650624.0
BBHI,PT. Bank Harda Internasional Tbk,164.0,"1 (0,61%)",-6.0,-26.0,679288.0
GHON,PT. Gihon Telekomunikasi Indonesia Tbk,1255.0,"0 (0,00%)",56.0,22.0,690250.0
BUVA,PT. Bukit Uluwatu Villa Tbk,103.0,"-2 (-1,90%)",-8.0,-13.0,701533.0
VRNA,PT. Verena Multi Finance Tbk,124.0,"-5 (-3,88%)",-34.0,-4.0,705188.0
TPMA,PT. Trans Power Marine Tbk,274.0,"-2 (-0,72%)",42.0,7.0,721442.0
LUCK,PT. Sentral Mitra Informatika Tbk,1010.0,"60 (6,32%)",3.0,317.0,722150.0
BAYU,PT. Bayu Buana Tbk,2080.0,"40 (1,96%)",87.0,24.0,734240.0
MAMI,PT. Mas Murni Indonesia Tbk,145.0,"-3 (-2,03%)",1.0,177.0,743415.0
CEKA,PT. Wilmar Cahaya Indonesia  Tbk,1250.0,"-40 (-3,10%)",92.0,14.0,743750.0
ISSP,PT. Steel Pipe Industry of Indonesia Tbk,104.0,"-1 (-0,95%)",3.0,36.0,747240.0
KBLV,PT. First Media Tbk,430.0,"-18 (-4,02%)",-1842.0,-0.0,749060.0
SMDM,PT. Suryamas Dutamakmur Tbk,157.0,"10 (6,80%)",7.0,22.0,749204.0
WICO,PT. Wicaksana Overseas International Tbk,600.0,"-10 (-1,64%)",-10.0,-62.0,760800.0
MABA,PT. Marga Abhinaya Abadi Tbk,50.0,"-1 (-1,96%)",-14.0,-4.0,768250.0
BBLD,PT. Buana Finance Tbk,480.0,"0 (0,00%)",27.0,18.0,789600.0
BATA,PT. Sepatu Bata Tbk,610.0,"-10 (-1,61%)",54.0,11.0,793000.0
JMAS,PT. Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,800.0,"-45 (-5,33%)",1.0,1522.0,800000.0
ALTO,PT. Tri Banyan Tirta Tbk,374.0,"-22 (-5,56%)",-23.0,-17.0,819434.0
DWGL,PT. Dwi Guna Laksana Tbk,96.0,"0 (0,00%)",-4.0,-27.0,829152.0
MKNT,PT. Mitra Komunikasi Nusantara Tbk,166.0,"-24 (-12,63%)",7.0,25.0,830000.0
GDST,PT. Gunawan Dianjaya Steel Tbk,90.0,"-2 (-2,17%)",-10.0,-9.0,831780.0
EMDE,PT. Megapolitan Developments Tbk,250.0,"6 (2,46%)",2.0,133.0,837500.0
